"시점","항목",대상분포(%),사교육비,과목: 일반교과 사교육,국  어,영  어,수  학,사회 과학,논  술,제2외국어 한문 컴퓨터 등,과목: 예체능취미교양 사교육,음  악,미  술,체  육,취미·교양,유형: 일반교과 사교육,개인과외,그룹과외,학원수강,방문학습지,유료인터넷 및 통신강좌 등,유형: 예체능취미교양 사교육,개인과외,그룹과외,학원수강,방문수업 및 기타
"2007","초등학교 (만원)",49.8,22.7,16.0,2.0,6.9,4.2,1.1,1.0,0.8,6.7,3.2,0.9,2.2,0.4,16.0,1.1,1.6,9.7,3.4,0.1,6.7,0.9,0.5,5.1,0.2
"2007","중학교 (만원)",26.5,23.4,21.9,2.9,7.6,7.3,2.9,0.6,0.6,1.5,0.6,0.3,0.5,0.1,21.9,3.3,2.1,15.2,1.0,0.3,1.5,0.4,0.1,1.0,0.1
"2007","고등학교 (만원)",23.7,19.7,17.0,2.0,5.7,7.2,1.1,0.7,0.2,2.4,0.6,1.1,0.4,0.3,17.0,5.6,2.4,8.4,0.1,0.4,2.4,0.4,0.1,1.9,0.0
"2007","일반고 (만원)",17.8,24.0,21.2,2.5,7.1,9.1,1.5,0.9,0.2,2.7,0.7,1.3,0.4,0.3,21.2,7.0,2.9,10.6,0.1,0.5,2.7,0.5,0.1,2.0,0.0
"2008","초등학교 (만원)",47.9,24.2,17.4,2.1,8.0,4.6,1.1,0.8,0.7,6.8,3.4,0.9,2.2,0.4,17.4,1.2,1.6,11.3,3.2,0.1,6.8,0.9,0.4,5.4,0.2
"2008","중학교 (만원)",26.9,24.1,22.6,2.8,8.2,7.9,2.8,0.5,0.5,1.5,0.6,0.2,0.4,0.2,22.6,3.3,1.8,16.3,0.8,0.3,1.5,0.4,0.1,0.9,0.0
"2008","고등학교 (만원)",25.2,20.6,17.6,2.0,6.2,7.7,1.0,0.5,0.2,2.8,0.8,1.2,0.4,0.4,17.6,5.6,2.3,9.1,0.1,0.4,2.8,0.5,0.1,2.1,0.0
"2008","일반고 (만원)",19.2,24.9,21.7,2.5,7.7,9.5,1.2,0.6,0.2,3.0,0.9,1.4,0.4,0.3,21.7,6.9,2.9,11.3,0.1,0.5,3.0,0.6,0.1,2.3,0.0
"2009","초등학교 (만원)",46.7,24.5,17.6,2.0,8.4,4.4,1.3,0.8,0.7,6.9,3.3,0.9,2.3,0.4,17.6,1.3,1.8,11.2,3.2,0.2,6.9,1.1,0.6,5.1,0.2
"2009","중학교 (만원)",26.9,26.0,24.3,2.7,9.0,8.9,2.8,0.4,0.5,1.7,0.7,0.3,0.6,0.2,24.3,4.0,2.4,16.7,0.8,0.3,1.7,0.5,0.2,1.0,0.0
"2009","고등학교 (만원)",26.4,21.7,18.5,2.1,6.3,8.4,1.1,0.4,0.2,3.0,1.2,1.0,0.4,0.3,18.5,6.1,2.2,9.5,0.1,0.5,3.0,1.0,0.1,1.9,0.0
"2009","일반고 (만원)",19.9,26.9,23.5,2.7,8.0,10.8,1.4,0.5,0.2,3.3,1.4,1.2,0.4,0.3,23.5,7.7,2.9,12.1,0.1,0.7,3.3,1.2,0.1,1.9,0.0
"2010","초등학교 (만원)",45.6,24.5,17.5,1.9,8.5,4.5,1.2,0.8,0.6,7.0,3.2,0.9,2.4,0.4,17.5,1.2,1.9,11.3,2.9,0.1,7.0,1.2,0.6,5.1,0.2
"2010","중학교 (만원)",27.3,25.5,23.8,2.5,9.1,9.0,2.4,0.4,0.5,1.6,0.7,0.3,0.5,0.1,23.8,3.8,2.5,16.4,0.7,0.4,1.6,0.5,0.2,0.9,0.0
"2010","고등학교 (만원)",27.1,21.8,18.4,2.1,6.2,8.6,0.9,0.5,0.2,3.1,1.3,1.0,0.5,0.3,18.4,5.9,2.4,9.5,0.1,0.5,3.1,1.1,0.1,1.8,0.0
"2010","일반고 (만원)",20.7,26.5,22.9,2.6,7.7,10.7,1.2,0.6,0.2,3.4,1.5,1.1,0.4,0.3,22.9,7.3,3.0,11.9,0.1,0.6,3.4,1.3,0.1,2.0,0.0
"2011","초등학교 (만원)",44.8,24.1,16.8,1.7,8.2,4.4,1.1,0.9,0.5,7.3,3.4,0.9,2.7,0.4,16.8,1.4,1.8,10.9,2.5,0.1,7.3,1.2,0.6,5.3,0.2
"2011","중학교 (만원)",27.3,26.2,24.3,2.2,9.5,9.7,2.2,0.5,0.4,1.8,0.8,0.2,0.6,0.2,24.3,4.0,2.6,16.8,0.7,0.3,1.8,0.5,0.2,1.1,0.1
"2011","고등학교 (만원)",27.8,21.8,18.5,1.9,6.5,8.7,0.8,0.5,0.2,3.0,1.2,1.0,0.4,0.4,18.5,5.8,2.3,9.9,0.1,0.4,3.0,0.9,0.1,2.0,0.0
"2011","일반고 (만원)",21.9,25.9,22.6,2.3,7.8,10.8,0.9,0.7,0.2,3.2,1.3,1.1,0.4,0.3,22.6,7.1,2.8,12.1,0.1,0.5,3.2,1.1,0.1,2.0,0.0
"2012","초등학교 (만원)",43.9,21.9,15.4,1.6,7.4,4.2,1.0,0.8,0.4,6.5,2.8,0.8,2.4,0.4,15.4,1.2,1.7,10.3,2.1,0.2,6.5,0.7,0.5,5.1,0.2
"2012","중학교 (만원)",27.5,27.6,25.5,1.8,10.4,10.8,1.6,0.5,0.3,2.1,0.9,0.2,0.7,0.2,25.5,4.2,3.0,17.4,0.6,0.3,2.1,0.6,0.2,1.2,0.1
